Question,Answer,Score
Something you might eat on a day out at the seaside,Ice Cream,46
,Fish & Chips,32
,Cockles,5
,Candyfloss,4
,Doughnuts,3
,Rock,3
Something you can pop,Balloon,43
,Bubble Gum,12
,Cork,10
,Spot,9
,Bubble Wrap,8
,Ears,4
Something that people spray on themselves,Fake Tan,30
,Deodorant,28
,Perfume,24
,Sun Screen,6
,Hairspray,4
,Insect Repellant,3
A song from the musical grease,You're the one that I want,28
,Greased Lightning,27
,Summer Nights,18
,Sandy,10
,Grease is the word,4
,Beauty school dropout,3
,Hopelessly devoted to you,3
Something people might keep zipped up,Trousers,37
,Coat / Jacket,29
,Mouth,14
,Purse,7
,Sleeping Bag,5
,Handbag,3
A type of footwear you would be surprised to see the Queen wearing,Flip flops,33
,Trainers,24
,Stilettos / Platforms,23
,Bovver Boots / DMs,5
,Clogs,4
What is the biggest nuisance about camping?,Rain,31
,No toilet,25
,Flies,19
,No shower,14
,Insects,11
Give me a word that rhymes with 'flipper'?,Slipper,52
,Dipper,16
,Clipper,13
,Skipper,11
,Zipper,8
Name a present that would be hard to wrap,Car,39
,Bike,32
,Ball,15
,Dog,9
,Horse,5
Name a place where you'd hide the spare key to your front door,Under the mat,51
,Pot plant,27
,Under a rock,11
,Meter box,6
,Under a brick,5
Name a way of showing appreciation,Applaud,39
,Thank,19
,Gift,16
,Hug/kiss,10
,Hand shake,8
,Card,5
Something you use to make objects look bigger,Magnifying glass,73
,Microscope,9
,Spectacles,7
,Telescope,4
,Padded bra,3
,Binoculars,2
Something you'd expect to see if you get to heaven,Angels,54
,Pearly gates,26
,God,10
,St Peter,4
,Clouds,3
,Family/friends,2
Something worn by hells angels,Leathers,86
,Helmet,5
,Chains,4
,Tattoos,3
,Boots,2
A famous rabbit,Bugs Bunny,29
,Peter,27
,Brer,24
,Roger,19
